frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.944249, 1, 43.9913, -10.075, 567.833, 0.0942954, 0.00714143, 0.0628152
2, 0.0333333, 0.943533, 1, 44.1784, -10.1488, 568.848, 0.0992146, 0.0116716, 0.063244
3, 0.0666667, 0.944064, 1, 44.1953, -10.1929, 569.094, 0.102744, 0.0125175, 0.0628905
4, 0.1, 0.9447, 1, 44.2167, -10.216, 569.347, 0.105006, 0.0129349, 0.0625381
5, 0.133333, 0.944566, 1, 44.223, -10.212, 569.359, 0.105049, 0.0128898, 0.062447
6, 0.166667, 0.944508, 1, 44.2302, -10.2227, 569.525, 0.105565, 0.0131213, 0.0623175
7, 0.2, 0.951527, 1, 46.6529, -9.03495, 567.653, 0.103379, 0.00329085, 0.062392
8, 0.233333, 0.951768, 1, 48.2883, -8.95607, 565.747, 0.0966625, -0.00181874, 0.0646525
9, 0.266667, 0.962583, 1, 50.0218, -9.16633, 563.574, 0.0902329, -0.00347399, 0.0658265
10, 0.3, 0.961601, 1, 51.8881, -8.81631, 562.605, 0.0877697, -0.00957184, 0.0689883
11, 0.333333, 0.958553, 1, 53.6613, -8.49415, 562.07, 0.0922514, -0.0150961, 0.0700835
12, 0.366667, 0.951091, 1, 55.3826, -8.0341, 563.189, 0.0990127, -0.0217502, 0.0761687
13, 0.4, 0.948214, 1, 57.0285, -7.84672, 567.854, 0.105478, -0.0240802, 0.0804316
14, 0.433333, 0.948872, 1, 58.4045, -7.84507, 569.089, 0.107184, -0.0258445, 0.0844342
15, 0.466667, 0.946215, 1, 59.7031, -8.07963, 569.492, 0.106964, -0.0304071, 0.0875109
16, 0.5, 0.947446, 1, 60.8601, -7.9535, 570.07, 0.111451, -0.0334334, 0.0898936
17, 0.533333, 0.948031, 1, 61.7685, -7.75048, 570.567, 0.111524, -0.0327979, 0.0925949
18, 0.566667, 0.94541, 1, 62.7715, -7.6095, 572.607, 0.111652, -0.0353185, 0.093798
19, 0.6, 0.951085, 1, 63.5443, -7.82525, 572.366, 0.110542, -0.0394318, 0.0951444
20, 0.633333, 0.94126, 1, 64.247, -8.19575, 573.198, 0.106013, -0.043015, 0.0987709
21, 0.666667, 0.943955, 1, 64.4257, -8.62537, 572.366, 0.107632, -0.0468252, 0.100378
22, 0.7, 0.950846, 1, 64.2261, -8.85876, 569.958, 0.109992, -0.0552221, 0.100773
23, 0.733333, 0.952486, 1, 64.0964, -8.61415, 568, 0.115391, -0.0606726, 0.0996399
24, 0.766667, 0.948666, 1, 64.1065, -8.21559, 566.964, 0.120751, -0.0653162, 0.0982304
25, 0.8, 0.95396, 1, 63.9924, -8.0148, 566.378, 0.125944, -0.07008, 0.0980742
26, 0.833333, 0.954036, 1, 63.4802, -7.86385, 564.868, 0.132318, -0.069692, 0.0975884
27, 0.866667, 0.959, 1, 62.8149, -7.90221, 563.463, 0.128607, -0.0693989, 0.0955438
28, 0.9, 0.958972, 1, 62.2147, -7.63681, 562.665, 0.131142, -0.0707005, 0.0929885
29, 0.933333, 0.953101, 1, 61.5713, -7.00923, 562.798, 0.138972, -0.0702758, 0.0898742
30, 0.966667, 0.952166, 1, 60.7832, -6.16794, 562.938, 0.145091, -0.0690917, 0.0866755
31, 1, 0.951251, 1, 59.7207, -5.78658, 561.599, 0.153804, -0.0683253, 0.0834973
32, 1.03333, 0.949975, 1, 58.8232, -5.35664, 560.104, 0.167351, -0.0714229, 0.082415
33, 1.06667, 0.945081, 1, 57.7113, -5.44767, 558.058, 0.17706, -0.0724787, 0.0807055
34, 1.1, 0.94278, 1, 56.2782, -5.1031, 554.195, 0.180823, -0.0667479, 0.080478
35, 1.13333, 0.935725, 1, 54.9532, -4.91688, 553.204, 0.18826, -0.0621019, 0.0799664
36, 1.16667, 0.936214, 1, 53.6199, -4.6797, 551.294, 0.196296, -0.0548492, 0.0792173
37, 1.2, 0.925599, 1, 52.9185, -4.86025, 552.581, 0.194965, -0.0450101, 0.0781808
38, 1.23333, 0.92453, 1, 52.5629, -4.93628, 554.451, 0.184221, -0.0320846, 0.0749371
