frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.964922, 1, -0.0357369, 0.385581, -0.921982, -0.251283, 0.32778, -0.910723, 0.0431783, 0.527537, -0.848434, -0.164612, 0.450643, -0.877396
2, 0.0333333, 0.967475, 1, -0.0329287, 0.386517, -0.921694, -0.278319, 0.318794, -0.90604, 0.0728682, 0.577109, -0.813409, -0.161495, 0.487072, -0.858301
3, 0.0666667, 0.967576, 1, -0.0416093, 0.390484, -0.919669, -0.282996, 0.331555, -0.899991, 0.0567979, 0.622468, -0.780581, -0.174806, 0.540634, -0.822896
4, 0.1, 0.969204, 1, -0.0489418, 0.392891, -0.918282, -0.285455, 0.339526, -0.896235, 0.0354783, 0.661225, -0.749348, -0.192315, 0.584592, -0.788205
5, 0.133333, 0.969003, 1, -0.0545242, 0.393848, -0.917557, -0.284496, 0.342115, -0.895555, 0.0225375, 0.677485, -0.735191, -0.199198, 0.603275, -0.772256
6, 0.166667, 0.968318, 1, -0.055553, 0.392955, -0.917878, -0.285419, 0.344266, -0.894436, 0.0178858, 0.683355, -0.729867, -0.20442, 0.61158, -0.764318
7, 0.2, 0.968363, 1, -0.0485605, 0.396316, -0.916829, -0.281101, 0.33624, -0.898846, 0.0202083, 0.690689, -0.72287, -0.202468, 0.609812, -0.766248
8, 0.233333, 0.965415, 1, -0.0442917, 0.382415, -0.922929, -0.282394, 0.33374, -0.899373, 0.0254949, 0.681636, -0.731247, -0.204751, 0.608504, -0.766681
9, 0.266667, 0.969808, 1, -0.00742718, 0.385547, -0.922658, -0.255966, 0.337586, -0.905824, 0.0579101, 0.693419, -0.718203, -0.18114, 0.621021, -0.762576
10, 0.3, 0.967618, 1, 0.0182402, 0.39204, -0.919767, -0.239741, 0.335785, -0.910918, 0.0774634, 0.705293, -0.704671, -0.168142, 0.626157, -0.761351
11, 0.333333, 0.967297, 1, 0.0264238, 0.393014, -0.919153, -0.242745, 0.323482, -0.914568, 0.0837704, 0.709584, -0.699624, -0.170001, 0.618336, -0.767307
12, 0.366667, 0.970215, 1, 0.0281541, 0.394427, -0.918496, -0.22934, 0.315919, -0.920651, 0.0848526, 0.710822, -0.698235, -0.155098, 0.614664, -0.77339
13, 0.4, 0.969281, 1, 0.00806673, 0.367385, -0.930034, -0.24111, 0.326808, -0.913818, 0.0690379, 0.68909, -0.72138, -0.170967, 0.621667, -0.764396
14, 0.433333, 0.969393, 1, 0.0112235, 0.378792, -0.925414, -0.22709, 0.319884, -0.919839, 0.0691968, 0.697697, -0.713044, -0.155893, 0.618126, -0.770466
15, 0.466667, 0.969867, 1, 0.0128438, 0.378822, -0.92538, -0.213806, 0.313924, -0.925061, 0.0702823, 0.698416, -0.712233, -0.141734, 0.61633, -0.774628
16, 0.5, 0.969269, 1, 0.0194511, 0.386191, -0.922214, -0.237353, 0.332924, -0.912593, 0.0781368, 0.7041, -0.705788, -0.166305, 0.626483, -0.761486
17, 0.533333, 0.967557, 1, 0.0278647, 0.38296, -0.923345, -0.233849, 0.331894, -0.913872, 0.0855942, 0.704336, -0.704688, -0.164002, 0.628307, -0.760482
18, 0.566667, 0.966291, 1, 0.0200293, 0.394209, -0.918802, -0.234381, 0.335588, -0.912385, 0.0730959, 0.714238, -0.696075, -0.167767, 0.632901, -0.755838
19, 0.6, 0.966543, 1, 0.0179043, 0.394418, -0.918757, -0.239175, 0.333119, -0.912046, 0.0705414, 0.714326, -0.696249, -0.172556, 0.630102, -0.757097
20, 0.633333, 0.967044, 1, 0.0109423, 0.379932, -0.92495, -0.249604, 0.327951, -0.911124, 0.068674, 0.701883, -0.708974, -0.180132, 0.623317, -0.760939
21, 0.666667, 0.967452, 1, 0.00705243, 0.379592, -0.925127, -0.248529, 0.325426, -0.912322, 0.0651917, 0.702336, -0.708854, -0.178207, 0.622614, -0.761968
22, 0.7, 0.966867, 1, 0.0148061, 0.383335, -0.923491, -0.249888, 0.325934, -0.911769, 0.0753616, 0.70441, -0.705781, -0.17641, 0.621792, -0.763056
23, 0.733333, 0.969835, 1, 0.00103726, 0.370686, -0.928758, -0.250399, 0.329567, -0.910322, 0.0590347, 0.697238, -0.714405, -0.183151, 0.627792, -0.756526
24, 0.766667, 0.967447, 1, 0.0124984, 0.39195, -0.919901, -0.236333, 0.337433, -0.9112, 0.0674005, 0.713663, -0.697239, -0.168891, 0.636029, -0.752956
25, 0.8, 0.965541, 1, 0.0407185, 0.393979, -0.918217, -0.232194, 0.338174, -0.911989, 0.0941706, 0.716167, -0.691547, -0.165169, 0.63572, -0.754042
26, 0.833333, 0.967459, 1, 0.0173864, 0.373935, -0.927292, -0.243598, 0.33128, -0.911544, 0.0742674, 0.698453, -0.711791, -0.176738, 0.627591, -0.758218
27, 0.866667, 0.965512, 1, 0.0193489, 0.390479, -0.920408, -0.242638, 0.319368, -0.916041, 0.0748376, 0.711143, -0.699053, -0.171122, 0.618408, -0.767
