frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.919755, 1, 1.18586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26753, 0, 0, 0, 0, 1, 0, 0
2, 0.0333333, 0.912129, 1, 1.35121, 0, 0, 0, 0, 0.509727, 0, 0, 0, 0, 0, 0, 0.90932, 0, 0, 0, 0, 1, 0, 0
3, 0.0666667, 0.908136, 1, 1.26367, 0, 0, 0, 0, 0.77724, 0, 0, 0, 0, 0.57025, 0, 0.938018, 0, 0, 0, 0, 1, 0, 0
4, 0.1, 0.908012, 1, 1.26424, 0, 0, 0, 0, 0.769629, 0, 0, 0, 0, 0.533075, 0, 0.998404, 0, 0, 0, 0, 1, 0, 0
5, 0.133333, 0.907731, 1, 1.32387, 0, 0, 0, 0, 0.786277, 0, 0, 0, 0, 0.541346, 0, 0.827804, 0, 0, 0, 0, 1, 0, 0
6, 0.166667, 0.907254, 1, 1.38755, 0, 0, 0, 0, 0.694132, 0, 0, 0, 0, 0.54021, 0, 0.899615, 0, 0, 0, 0, 1, 0, 0
7, 0.2, 0.894183, 1, 1.12169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.591033, 0, 1.20759, 0, 0, 0, 0, 1, 0, 0
8, 0.233333, 0.898795, 1, 1.35098, 0, 0, 0, 0, 0.815229, 0, 0, 0, 0, 0.654014, 0, 1.05105, 0, 0, 0, 0, 1, 0, 0
9, 0.266667, 0.876587, 1, 1.42137, 0, 0, 0, 0, 0.648168, 0, 0, 0, 0, 0.829246, 0, 1.0901, 0, 0, 0, 0, 1, 0, 0
10, 0.3, 0.866025, 1, 1.26476, 0, 0, 0, 0, 0.684924, 0, 0, 0, 0, 0.897231, 0, 1.44522, 0, 0, 0, 0, 1, 0, 0
11, 0.333333, 0.874012, 1, 1.32953, 0, 0, 0, 0, 0.740691, 0, 0, 0, 0, 0.91924, 0, 1.24258, 0, 1, 0, 0, 1, 0, 0
12, 0.366667, 0.874558, 1, 1.40359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.944705, 0, 1.39812, 0, 1, 0, 0, 1, 0, 0
13, 0.4, 0.881625, 1, 1.10011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.968625, 0, 0.889584, 0, 0, 0, 0, 1, 0, 0
14, 0.433333, 0.872164, 1, 1.28229, 0, 0, 0, 0, 0.516679, 0, 0, 0, 0, 0.91175, 0, 0.604842, 0, 0, 0, 0, 1, 0, 1
15, 0.466667, 0.861371, 1, 1.35404, 0, 0, 0, 0, 0.514852, 0, 0, 0, 0, 0.896834, 0, 1.06977, 0, 0, 0, 0, 1, 0, 1
16, 0.5, 0.864358, 1, 1.3375, 0, 0, 0, 0, 0.599693, 0, 0, 0, 0, 0.961901, 0, 1.11688, 0, 1, 0, 0, 1, 0, 0
17, 0.533333, 0.864922, 1, 1.48554, 0, 0, 0.605217, 0, 0.544603, 0, 0, 0, 0, 0.878595, 0, 1.20318, 0, 0, 0, 0, 1, 0, 1
18, 0.566667, 0.862156, 1, 1.64669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02771, 0.628082, 0.765012, 0, 0, 0, 0, 1, 0, 1
19, 0.6, 0.852254, 1, 1.77421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05245, 0.587597, 0.954194, 0, 0, 0, 0, 1, 0, 0
20, 0.633333, 0.849639, 1, 1.55451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01925, 0.524158, 0.703274, 0, 0, 0, 0, 1, 0, 1
21, 0.666667, 0.856506, 1, 1.47171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13486, 0, 1.24896, 0, 1, 0, 0, 1, 0, 1
22, 0.7, 0.87477, 1, 1.53928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02573, 0, 1.28548, 0, 0, 0, 0, 1, 0, 1
23, 0.733333, 0.854689, 1, 1.6623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00553, 0, 0.997128, 0, 0, 0, 0, 1, 0, 1
24, 0.766667, 0.860208, 1, 1.54288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01635, 0, 0.996643, 0, 0, 0, 0, 1, 0, 0
25, 0.8, 0.866392, 1, 1.69515, 0, 0, 0, 0, 0.84054, 0, 0, 0, 0, 0.977366, 0.656377, 1.7251, 0, 1, 0, 0, 1, 0, 1
26, 0.833333, 0.85608, 1, 1.42877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.998542, 0.992027, 1.47064, 0, 0, 0, 0, 1, 0, 1
27, 0.866667, 0.854494, 1, 1.37204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0242, 0.834781, 1.71846, 0, 0, 0, 0, 1, 0, 1
28, 0.9, 0.845514, 1, 1.57633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03104, 0, 1.35272, 0, 0, 0, 0, 1, 0, 1
29, 0.933333, 0.851471, 1, 1.52366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01672, 0.58147, 1.11939, 0, 0, 0, 0, 1, 0, 1
30, 0.966667, 0.851519, 1, 1.42793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.859584, 0, 0.907622, 0, 0, 0, 0, 1, 0, 1
31, 1, 0.848601, 1, 1.59861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.969518, 0, 0.573229, 0, 0, 0, 0, 1, 0, 0
32, 1.03333, 0.860351, 1, 1.65223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07267, 0, 0.68194, 0, 1, 0, 0, 1, 0, 0
33, 1.06667, 0.846999, 1, 1.88022, 0, 0, 0, 0, 0.598225, 0, 0, 0, 0, 0.920953, 0, 1.25982, 0, 0, 0, 0, 1, 0, 0
34, 1.1, 0.858301, 1, 1.71768, 0, 0, 0.514593, 0, 0.671756, 0, 0, 0, 0, 0.962168, 0, 1.1094, 0, 0, 0, 0, 1, 0, 0
35, 1.13333, 0.848885, 1, 1.70334, 0, 0, 0, 0, 0.518755, 0, 0, 0, 0, 0.981077, 0, 0.827052, 0, 0, 0, 0, 1, 0, 1
36, 1.16667, 0.850595, 1, 1.70421, 0, 0, 0.520545, 0, 0, 0, 0, 0, 0, 0.995471, 0, 1.48284, 0, 0, 0, 0, 1, 0, 0
37, 1.2, 0.873418, 1, 1.6768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.848799, 0, 1.71765, 0, 0, 0, 0, 1, 0, 1
38, 1.23333, 0.858291, 1, 1.56253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.914958, 0, 1.70491, 0, 0, 0, 0, 1, 0, 1
39, 1.26667, 0.857409, 1, 1.67334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.880076, 0, 1.64026, 0, 0, 0, 0, 1, 0, 0
40, 1.3, 0.867667, 1, 1.6138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.943235, 0.602915, 1.66524, 0, 0, 0, 0, 1, 0, 0
41, 1.33333, 0.85556, 1, 1.75847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02065, 0, 1.50086, 0, 0, 0, 0, 1, 0, 0
42, 1.36667, 0.848499, 1, 1.88609, 0, 0, 0, 0, 0.504673, 0, 0, 0, 0, 1.06726, 0, 1.38816, 0, 0, 0, 0, 1, 0, 0
43, 1.4, 0.871912, 1, 1.88412, 0, 0, 0, 0, 0.635647, 0, 0, 0, 0, 1.03856, 0, 1.32658, 0, 0, 0, 0, 1, 0, 1
44, 1.43333, 0.848454, 1, 1.84066, 0, 0, 0, 0, 1.09503, 0, 0, 0, 0, 0.789267, 0, 1.59155, 0, 0, 0, 0, 1, 0, 0
45, 1.46667, 0.8595, 1, 1.89958, 0, 0, 0, 0, 0.731613, 0, 0, 0, 0, 0.993173, 0, 1.41021, 0, 0, 0, 0, 1, 0, 0
46, 1.5, 0.842809, 1, 1.85083, 0, 0.502076, 0, 0, 0.713005, 0, 0, 0, 0, 0.973727, 0, 1.22197, 0, 0, 0, 0, 1, 0, 0
47, 1.53333, 0.841956, 1, 1.54895, 0, 0, 0, 0, 0.821195, 0, 0, 0, 0, 1.05187, 0, 1.1504, 0, 0, 0, 0, 1, 0, 0
48, 1.56667, 0.848849, 1, 1.71713, 0, 0, 0, 0, 0.725105, 0, 0, 0, 0, 1.14716, 0.562122, 1.4477, 0, 0, 0, 0, 1, 0, 1
49, 1.6, 0.835932, 1, 1.28685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.828403, 0.730983, 1.11198, 0, 1, 0, 1, 1, 0, 0
50, 1.63333, 0.856139, 1, 2.13254, 0.53611, 0, 0, 0, 0, 0, 0, 0, 0.590956, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0
51, 1.66667, 0.860577, 1, 2.38045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.666914, 0, 0.511619, 0, 0, 0, 1, 0, 0
